series,period,value,unit,available_at,source_url,provider
svb_assets,2021-Q4,208581000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_deposits,2021-Q4,191431000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_equity,2021-Q4,14795000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_roa,2021-Q4,0.796594,percent,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_assets,2022-Q1,217804000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_deposits,2022-Q1,200414000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_equity,2022-Q1,14571000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_roa,2022-Q1,0.964387,percent,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_assets,2022-Q2,211824000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_deposits,2022-Q2,190153000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_equity,2022-Q2,15386000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_roa,2022-Q2,0.957053,percent,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_assets,2022-Q3,210244000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_deposits,2022-Q3,178878000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_equity,2022-Q3,15129000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_roa,2022-Q3,1.010127,percent,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_assets,2022-Q4,209026000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_deposits,2022-Q4,175378000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_equity,2022-Q4,15456000,USD_thousands,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_roa,2022-Q4,0.956993,percent,2026-06-08T21:06:18Z,https://banks.data.fdic.gov/api/financials,FDIC
svb_failure,2023-03-10,1,event_count,2026-05-27T14:01:07Z,https://banks.data.fdic.gov/api/failures,FDIC
svb_failure_estimated_cost,2023-03-10,18894401,USD_thousands,2026-05-27T14:01:07Z,https://banks.data.fdic.gov/api/failures,FDIC
